study_accession	sample_accession	secondary_sample_accession	experiment_accession	run_accession	tax_id	scientific_name	instrument_model	library_layout	fastq_ftp	fastq_galaxy	submitted_ftp	submitted_galaxy	sra_ftp	sra_galaxy	cram_index_ftp	cram_index_galaxy
PRJEB18997	SAMEA103885254	ERS1677708	ERX1869275	ERR1806248	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/008/ERR1806248/ERR1806248_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/008/ERR1806248/ERR1806248_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/008/ERR1806248/ERR1806248_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/008/ERR1806248/ERR1806248_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1806248/16596_2#6.cram	ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1806248/16596_2#6.cram			ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1806248/16596_2#6.cram.crai	ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1806248/16596_2#6.cram.crai
PRJEB18997	SAMEA103885033	ERS1677709	ERX1869276	ERR1806249	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/009/ERR1806249/ERR1806249_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/009/ERR1806249/ERR1806249_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/009/ERR1806249/ERR1806249_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/009/ERR1806249/ERR1806249_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1806249/16596_2#7.cram	ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1806249/16596_2#7.cram			ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1806249/16596_2#7.cram.crai	ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1806249/16596_2#7.cram.crai
PRJEB18997	SAMEA103885051	ERS1677710	ERX1869277	ERR1806250	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/000/ERR1806250/ERR1806250_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/000/ERR1806250/ERR1806250_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/000/ERR1806250/ERR1806250_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/000/ERR1806250/ERR1806250_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1806250/16596_2#8.cram	ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1806250/16596_2#8.cram			ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1806250/16596_2#8.cram.crai	ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1806250/16596_2#8.cram.crai
PRJEB18997	SAMEA103885122	ERS1677711	ERX1869278	ERR1806251	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/001/ERR1806251/ERR1806251_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/001/ERR1806251/ERR1806251_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/001/ERR1806251/ERR1806251_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/001/ERR1806251/ERR1806251_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1806251/16596_2#14.cram	ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1806251/16596_2#14.cram			ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1806251/16596_2#14.cram.crai	ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1806251/16596_2#14.cram.crai
PRJEB18997	SAMEA103885158	ERS1677712	ERX1869279	ERR1806252	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/002/ERR1806252/ERR1806252_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/002/ERR1806252/ERR1806252_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/002/ERR1806252/ERR1806252_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/002/ERR1806252/ERR1806252_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1806252/16596_2#15.cram	ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1806252/16596_2#15.cram			ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1806252/16596_2#15.cram.crai	ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1806252/16596_2#15.cram.crai
PRJEB18997	SAMEA103885174	ERS1677713	ERX1869280	ERR1806253	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/003/ERR1806253/ERR1806253_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/003/ERR1806253/ERR1806253_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/003/ERR1806253/ERR1806253_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/003/ERR1806253/ERR1806253_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1806253/16596_2#16.cram	ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1806253/16596_2#16.cram			ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1806253/16596_2#16.cram.crai	ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1806253/16596_2#16.cram.crai
PRJEB18997	SAMEA103885085	ERS1677714	ERX1869281	ERR1806254	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/004/ERR1806254/ERR1806254_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/004/ERR1806254/ERR1806254_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/004/ERR1806254/ERR1806254_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/004/ERR1806254/ERR1806254_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1806254/16596_2#17.cram	ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1806254/16596_2#17.cram			ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1806254/16596_2#17.cram.crai	ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1806254/16596_2#17.cram.crai
PRJEB18997	SAMEA103885092	ERS1677715	ERX1869282	ERR1806255	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/005/ERR1806255/ERR1806255_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/005/ERR1806255/ERR1806255_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/005/ERR1806255/ERR1806255_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/005/ERR1806255/ERR1806255_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1806255/16596_2#30.cram	ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1806255/16596_2#30.cram			ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1806255/16596_2#30.cram.crai	ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1806255/16596_2#30.cram.crai
PRJEB18997	SAMEA103885411	ERS1677716	ERX1869283	ERR1806256	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/006/ERR1806256/ERR1806256_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/006/ERR1806256/ERR1806256_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/006/ERR1806256/ERR1806256_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/006/ERR1806256/ERR1806256_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1806256/16596_2#31.cram	ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1806256/16596_2#31.cram			ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1806256/16596_2#31.cram.crai	ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1806256/16596_2#31.cram.crai
PRJEB18997	SAMEA103884946	ERS1677717	ERX1869284	ERR1806257	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/007/ERR1806257/ERR1806257_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/007/ERR1806257/ERR1806257_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/007/ERR1806257/ERR1806257_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/007/ERR1806257/ERR1806257_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1806257/16596_2#33.cram	ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1806257/16596_2#33.cram			ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1806257/16596_2#33.cram.crai	ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1806257/16596_2#33.cram.crai
PRJEB18997	SAMEA103885334	ERS1677718	ERX1869285	ERR1806258	9606	Homo sapiens	Illumina HiSeq 2000	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/008/ERR1806258/ERR1806258_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/008/ERR1806258/ERR1806258_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/008/ERR1806258/ERR1806258_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR180/008/ERR1806258/ERR1806258_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1806258/16596_2#38.cram	ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1806258/16596_2#38.cram			ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1806258/16596_2#38.cram.crai	ftp.sra.ebi.ac.uk/vol1/run/ERR180/ERR1806258/16596_2#38.cram.crai
