sample_id,line_id,replicate,condition_name,macrophage_harvest,salmonella_date,ng_ul_mean,rna_extraction,rna_submit,library_pool,chemistry,rna_auto,biosamples_accession
aipt_A,aipt_2,1,naive,6/8/2014,6/14/2014,271.84,6/24/2014,11/18/2014,3226_RNA-1_191114,V4,0,SAMEA103885226
aipt_B,aipt_2,1,IFNg,6/8/2014,6/14/2014,271.84,6/24/2014,11/18/2014,3226_RNA-1_191114,V4,0,SAMEA103885263
aipt_C,aipt_2,1,SL1344,6/8/2014,6/14/2014,271.84,6/24/2014,11/18/2014,3226_RNA-1_191114,V4,0,SAMEA103885044
aipt_D,aipt_2,1,IFNg_SL1344,6/8/2014,6/14/2014,271.84,6/24/2014,11/18/2014,3226_RNA-1_191114,V4,0,SAMEA103885205
auim_A,auim_2,1,naive,11/14/2014,11/20/2014,97.0125,12/4/2014,4/29/2015,3226_RNAauto-290415,V4_auto,1,SAMEA103885018
auim_B,auim_2,1,IFNg,11/14/2014,11/20/2014,97.0125,12/4/2014,4/29/2015,3226_RNAauto-290415,V4_auto,1,SAMEA103884934
auim_C,auim_2,1,SL1344,11/14/2014,11/20/2014,97.0125,12/4/2014,4/29/2015,3226_RNAauto-290415,V4_auto,1,SAMEA103885279
auim_D,auim_2,1,IFNg_SL1344,11/14/2014,11/20/2014,97.0125,12/4/2014,4/29/2015,3226_RNAauto-290415,V4_auto,1,SAMEA103884965
babk_A,babk_2,2,naive,11/25/2015,12/4/2015,50.305,12/7/2015,12/9/2015,3226_RNAauto-091215,V4_auto,1,SAMEA103885125
babk_B,babk_2,2,IFNg,11/25/2015,12/4/2015,50.305,12/7/2015,12/9/2015,3226_RNAauto-091215,V4_auto,1,SAMEA103885304
babk_C,babk_2,2,SL1344,11/25/2015,12/4/2015,50.305,12/7/2015,12/9/2015,3226_RNAauto-091215,V4_auto,1,SAMEA103884985
babk_D,babk_2,2,IFNg_SL1344,11/25/2015,12/4/2015,50.305,12/7/2015,12/9/2015,3226_RNAauto-091215,V4_auto,1,SAMEA103885383
bima_A,bima_1,1,naive,12/5/2014,12/12/2014,91.64,2/5/2015,4/29/2015,3226_RNAauto-290415,V4_auto,1,SAMEA103885122
bima_B,bima_1,1,IFNg,12/5/2014,12/12/2014,91.64,2/5/2015,4/29/2015,3226_RNAauto-290415,V4_auto,1,SAMEA103885158
bima_C,bima_1,1,SL1344,12/5/2014,12/12/2014,91.64,2/5/2015,4/29/2015,3226_RNAauto-290415,V4_auto,1,SAMEA103885174
bima_D,bima_1,1,IFNg_SL1344,12/5/2014,12/12/2014,91.64,2/5/2015,4/29/2015,3226_RNAauto-290415,V4_auto,1,SAMEA103885085
bubh_A,bubh_1,1,naive,3/25/2015,4/1/2015,100.905,5/22/2015,5/26/2015,3226_RNAauto-260515,V4_auto,1,SAMEA103885384
bubh_B,bubh_1,1,IFNg,3/25/2015,4/1/2015,100.905,5/22/2015,5/26/2015,3226_RNAauto-260515,V4_auto,1,SAMEA103885135
bubh_C,bubh_1,1,SL1344,3/25/2015,4/1/2015,100.905,5/22/2015,5/26/2015,3226_RNAauto-260515,V4_auto,1,SAMEA103885298
bubh_D,bubh_1,1,IFNg_SL1344,3/25/2015,4/1/2015,100.905,5/22/2015,5/26/2015,3226_RNAauto-260515,V4_auto,1,SAMEA103885243
cehw_A,cehw_3,1,naive,11/14/2014,11/20/2014,98.1075,11/25/2014,12/9/2014,3226_RNAseq-1_111214,V4,0,SAMEA103885168
cehw_B,cehw_3,1,IFNg,11/14/2014,11/20/2014,98.1075,11/25/2014,12/9/2014,3226_RNAseq-1_111214,V4,0,SAMEA103885325
cehw_C,cehw_3,1,SL1344,11/14/2014,11/20/2014,98.1075,11/25/2014,12/9/2014,3226_RNAseq-1_111214,V4,0,SAMEA103885050
cehw_D,cehw_3,1,IFNg_SL1344,11/14/2014,11/20/2014,98.1075,11/25/2014,12/9/2014,3226_RNAseq-1_111214,V4,0,SAMEA103885150
cicb_A,cicb_3,1,naive,4/17/2015,4/24/2015,146.9575,4/25/2015,4/29/2015,3226_RNAauto-290415,V4_auto,1,SAMEA103885048
cicb_B,cicb_3,1,IFNg,4/17/2015,4/24/2015,146.9575,4/25/2015,4/29/2015,3226_RNAauto-290415,V4_auto,1,SAMEA103885160
cicb_C,cicb_3,1,SL1344,4/17/2015,4/24/2015,146.9575,4/25/2015,4/29/2015,3226_RNAauto-290415,V4_auto,1,SAMEA103885009
cicb_D,cicb_3,1,IFNg_SL1344,4/17/2015,4/24/2015,146.9575,4/25/2015,4/29/2015,3226_RNAauto-290415,V4_auto,1,SAMEA103884998
coio_A,coio_2,1,naive,11/14/2014,11/20/2014,162.7075,11/25/2014,12/9/2014,3226_RNAseq-2_111214,V4,0,SAMEA103885359
coio_B,coio_2,1,IFNg,11/14/2014,11/20/2014,162.7075,11/25/2014,12/9/2014,3226_RNAseq-2_111214,V4,0,SAMEA103885117
coio_C,coio_2,1,SL1344,11/14/2014,11/20/2014,162.7075,11/25/2014,12/9/2014,3226_RNAseq-2_111214,V4,0,SAMEA103885366
coio_D,coio_2,1,IFNg_SL1344,11/14/2014,11/20/2014,162.7075,11/25/2014,12/9/2014,3226_RNAseq-2_111214,V4,0,SAMEA103885302
coxy_A,coxy_3,1,naive,8/23/2014,8/29/2014,121.575,9/8/2014,11/18/2014,3226_RNA-2_191114,V4,0,SAMEA103885404
coxy_B,coxy_3,1,IFNg,8/23/2014,8/29/2014,121.575,9/8/2014,11/18/2014,3226_RNA-2_191114,V4,0,SAMEA103885187
coxy_C,coxy_3,1,SL1344,8/23/2014,8/29/2014,121.575,9/8/2014,11/18/2014,3226_RNA-2_191114,V4,0,SAMEA103885282
coxy_D,coxy_3,1,IFNg_SL1344,8/23/2014,8/29/2014,121.575,9/8/2014,11/18/2014,3226_RNA-2_191114,V4,0,SAMEA103885057
coyi_A,coyi_3,1,naive,10/28/2015,11/5/2015,87.0125,11/11/2015,12/9/2015,3226_RNAauto-091215,V4_auto,1,SAMEA103885385
coyi_B,coyi_3,1,IFNg,10/28/2015,11/5/2015,87.0125,11/11/2015,12/9/2015,3226_RNAauto-091215,V4_auto,1,SAMEA103884883
coyi_C,coyi_3,1,SL1344,10/28/2015,11/5/2015,87.0125,11/11/2015,12/9/2015,3226_RNAauto-091215,V4_auto,1,SAMEA103885145
coyi_D,coyi_3,1,IFNg_SL1344,10/28/2015,11/5/2015,87.0125,11/11/2015,12/9/2015,3226_RNAauto-091215,V4_auto,1,SAMEA103885220
cuau_A,cuau_2,1,naive,11/14/2014,11/20/2014,153.9025,11/25/2014,12/9/2014,3226_RNAseq-1_111214,V4,0,SAMEA103885250
