line_id,donor,clone,replicate,ips_received,ips_started,passage_received,received_as,media,EB_formation,passage_diff,diff_start,salmonella_date,atac_date,flow_date,medium_changes,terminated,status,mean_purity,max_purity,genotype_id,open_access,sex,RNA_included,ATAC_included
peop_2,peop,2,1,2/19/2014,2/19/2014,23,alive,KSR,2/27/2014,25,3/3/2014,6/3/2014,NA,5/20/2014,20,6/13/2014,Success,0.971741221741222,0.974386724386724,HPSI0413i-peop_2,0,male,1,0
fpdl_1,fpdl,1,2,3/12/2014,3/12/2014,42,alive,KSR,3/22/2014,44,3/25/2014,6/3/2014,NA,5/20/2014,14,6/13/2014,Success,0.965837069098779,0.968464986860411,HPSI0813i-fpdl_1,0,female,0,0
ougl_3,ougl,3,1,3/12/2014,3/12/2014,26,alive,KSR,3/18/2014,27,3/21/2014,6/3/2014,NA,5/20/2014,15,6/13/2014,Success,0.955649917433357,0.960368011323425,HPSI0413i-ougl_3,0,male,1,0
ffdk_1,ffdk,1,1,3/19/2014,3/19/2014,18,alive,KSR,3/24/2014,19,3/27/2014,NA,NA,5/20/2014,12,6/13/2014,FC_QC_fail,0.817766246602422,0.822090437361008,HPSI0813i-ffdk_1,0,male,0,0
iasn_3,iasn,3,1,3/19/2014,3/19/2014,30,alive,KSR,3/24/2014,31,3/27/2014,6/3/2014,NA,5/20/2014,14,6/13/2014,Success,0.984281842818428,0.985094850948509,HPSI0513i-iasn_3,0,female,1,0
aipt_2,aipt,2,1,4/22/2014,4/22/2014,27,alive,KSR,4/26/2014,28,4/30/2014,6/14/2014,NA,6/16/2014,11,7/8/2014,Success,0.989960177239329,0.995288574793875,HPSI0513i-aipt_2,0,male,1,0
liun_2,liun,2,1,4/22/2014,4/22/2014,25,alive,KSR,4/26/2014,26,4/30/2014,6/14/2014,NA,6/20/2014,12,7/8/2014,Success,0.982464888224051,0.989528795811518,HPSI0613i-liun_2,0,male,1,0
oomz_2,oomz,2,1,5/6/2014,5/6/2014,27,alive,KSR,5/10/2014,28,5/14/2014,6/14/2014,NA,6/16/2014,6,6/26/2014,Success,0.99083215796897,0.994123178185237,HPSI0613i-oomz_2,0,female,1,0
qanu_2,qanu,2,1,5/6/2014,5/6/2014,28,alive,KSR,5/10/2014,29,5/14/2014,6/14/2014,NA,6/20/2014,6,6/26/2014,Success,0.977525314892566,0.991108915781674,HPSI0613i-qanu_2,0,female,1,0
hikj_1,hikj,1,1,5/12/2014,5/12/2014,28,alive,KSR,5/17/2014,29,5/21/2014,7/15/2014,NA,7/1/2014,8,7/16/2014,Success,0.994329257487152,0.999822789296474,HPSI0613i-hikj_1,0,male,1,0
qimz_1,qimz,1,1,5/12/2014,5/12/2014,26,alive,KSR,5/17/2014,27,5/21/2014,7/15/2014,NA,7/1/2014,8,7/16/2014,Success,0.985408805031447,0.986666666666667,HPSI0713i-qimz_1,0,female,1,0
uoxz_5,uoxz,5,1,5/12/2014,5/21/2014,34,frozen,KSR,6/9/2014,37,6/13/2014,NA,NA,NA,13,8/19/2014,Diff_fail,NA,NA,HPSI0513i-uoxz_5,0,female,0,0
zisa_3,zisa,3,1,5/12/2014,5/12/2014,29,alive,KSR,5/18/2014,30,5/22/2014,7/15/2014,NA,7/1/2014,8,7/15/2014,Success,0.987375415282392,0.990365448504983,HPSI0613i-zisa_3,0,male,1,0
oarz_2,oarz,2,1,6/23/2014,6/23/2014,35,alive,KSR,6/30/2014,36,7/4/2014,8/22/2014,NA,NA,9,8/27/2014,RNA_QC_fail,NA,NA,HPSI0513i-oarz_2,0,male,0,0
oarz_2,oarz,2,2,6/23/2014,9/15/2014,36,frozen,KSR,10/3/2014,39,10/6/2014,11/5/2014,NA,11/11/2014,5,11/13/2014,Success,0.993752459661551,0.999262101534829,HPSI0513i-oarz_2,0,male,1,0
yuze_1,yuze,1,1,7/3/2014,7/3/2014,53,alive,KSR,7/8/2014,54,7/11/2014,8/22/2014,NA,8/28/2014,10,9/9/2014,Success,0.991012114107073,0.993635906883269,HPSI0413i-yuze_1,0,male,1,0
